 Location:  0N 110W   8 Mar 1980 to 18 Nov 2020 ( 2972 times, 18 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST QUALITY
1989_04_12 1200 25.57 2
1989_04_17 1200 25.54 2
1989_04_22 1200 25.31 2
1989_04_27 1200 25.32 2
1989_05_02 1200 25.28 2
1989_05_07 1200 24.67 2
1989_05_12 1200 24.59 2
1989_05_17 1200 24.97 2
1989_05_22 1200 24.95 2
1989_05_27 1200 25.6 2
1989_06_01 1200 24.57 2
1989_06_06 1200 24.54 2
1989_06_11 1200 25.58 2
1989_06_16 1200 25.84 2
1989_06_21 1200 25.08 2
1989_06_26 1200 23.27 2
1989_07_01 1200 22.85 2
1989_07_06 1200 22.75 2
1989_07_11 1200 23.15 2
1989_07_16 1200 22.88 2
1989_07_21 1200 22.39 2
1989_07_26 1200 22.28 2
1989_07_31 1200 22.25 2
1989_08_05 1200 21.38 2
1989_08_10 1200 21.54 2
1989_08_15 1200 22.23 2
1989_08_20 1200 22.19 2
1989_08_25 1200 22.1 2
1989_08_30 1200 21.65 2
1989_09_04 1200 21.57 2
1989_09_09 1200 21.5 2
1989_09_14 1200 21.38 2
1989_09_19 1200 22.41 2
1989_09_24 1200 21.49 2
1989_09_29 1200 22.3 2
1989_10_04 1200 22.19 2
1989_10_09 1200 21.87 2
1989_10_14 1200 21.65 2
1989_10_19 1200 22.11 2
1989_10_24 1200 22.09 2
1989_10_29 1200 21.76 2
1989_11_03 1200 21.86 2
1989_11_08 1200 21.95 2
1989_11_13 1200 22.43 2
1989_11_18 1200 24.1 2
1989_11_23 1200 21.65 2
1989_11_28 1200 22.16 2
1989_12_03 1200 21.59 2
1989_12_08 1200 21.51 2
1989_12_13 1200 21.17 2
1989_12_18 1200 21.56 2
1989_12_23 1200 22.49 2
1989_12_28 1200 23.6 2
1990_01_02 1200 24.05 2
1990_01_07 1200 23.25 2
1990_01_12 1200 23.65 2
1990_01_17 1200 24.33 2
1990_01_22 1200 24.32 2
1990_01_27 1200 24.35 2
1990_02_01 1200 24.71 2
1990_02_06 1200 25.18 2
1990_02_11 1200 25.04 2
1990_02_16 1200 25.39 2
1990_02_21 1200 26.2 2
1990_02_26 1200 25.47 2
1990_03_03 1200 25.42 2
1990_03_08 1200 25.21 2
1990_03_13 1200 25.69 2
1990_03_18 1200 25.78 2
1990_03_23 1200 26.63 2
1990_03_28 1200 26.74 2
1990_04_02 1200 26.94 2
1990_04_07 1200 26.88 2
1990_04_12 1200 27.02 2
1990_04_17 1200 26.81 2
1990_04_22 1200 26.57 2
1990_04_27 1200 26.63 2
1990_05_02 1200 26.43 2
1990_05_07 1200 26.12 2
1990_05_12 1200 26.3 2
1990_05_17 1200 25.85 2
1990_05_22 1200 25.77 2
1990_05_27 1200 26.22 2
1990_06_01 1200 25.88 2
1990_06_06 1200 25.38 2
1990_06_11 1200 24.73 2
1990_06_16 1200 26.03 2
1990_06_21 1200 25.82 2
1990_06_26 1200 23.37 2
1990_07_01 1200 23.39 2
1990_07_06 1200 22.77 2
1990_07_11 1200 22.54 2
1990_07_16 1200 24.58 2
1990_07_21 1200 22.03 2
1990_07_26 1200 22.18 2
1990_07_31 1200 22.57 2
1990_08_05 1200 22.79 2
1990_08_10 1200 23.83 2
1990_08_15 1200 24.07 2
1990_08_20 1200 22.45 2
1990_08_25 1200 23.18 2
1990_08_30 1200 23.35 2
1990_09_04 1200 22.68 2
1990_09_09 1200 22.52 2
1990_09_14 1200 22.69 2
1990_09_19 1200 23.27 2
1990_09_24 1200 23.62 2
1990_09_29 1200 22.24 2
1990_10_04 1200 22.28 2
1990_10_09 1200 22.09 2
1990_10_14 1200 23.42 2
1990_10_19 1200 23.29 2
1990_10_24 1200 22.42 2
1990_10_29 1200 22.84 2
1990_11_03 1200 23.06 2
1990_11_08 1200 22.57 2
1990_11_13 1200 22.28 2
1990_11_18 1200 22.4 2
1990_11_23 1200 22.61 2
1990_11_28 1200 22.55 2
1990_12_03 1200 22.27 2
1990_12_08 1200 21.98 2
1990_12_13 1200 21.67 2
1990_12_18 1200 22.4 2
1990_12_23 1200 23.89 2
1990_12_28 1200 23.36 2
1991_01_02 1200 23.25 2
1991_01_07 1200 23.76 2
1991_01_12 1200 24 2
1991_01_17 1200 24.42 2
1991_01_22 1200 25.14 2
1991_01_27 1200 24.86 2
1991_02_01 1200 25.04 2
1991_02_06 1200 25.14 2
1991_02_11 1200 25.56 2
1991_02_16 1200 24.97 2
1991_02_21 1200 25.21 2
1991_02_26 1200 26.02 2
1991_03_03 1200 25.9 2
1991_03_08 1200 26.05 2
1991_03_13 1200 27.51 2
1991_03_18 1200 25.79 2
1991_03_23 1200 25.96 2
1991_03_28 1200 25.74 2
1991_04_02 1200 24.59 2
1991_04_07 1200 24.55 2
1991_04_12 1200 25.2 2
1991_04_17 1200 26.54 2
1991_04_22 1200 26.84 2
1991_04_27 1200 26.71 2
1991_05_02 1200 27.24 2
1991_05_07 1200 27.22 2
1991_05_12 1200 27.38 2
1991_05_17 1200 27.59 2
1991_05_22 1200 28.07 2
1991_05_27 1200 27.09 2
1991_06_01 1200 26.4 2
1991_06_06 1200 26.25 2
1991_06_11 1200 26.09 2
1991_06_16 1200 26.1 2
1991_06_21 1200 26.2 2
1991_06_26 1200 26.35 2
1991_07_01 1200 26.44 2
1991_07_06 1200 26.92 2
1991_07_11 1200 25.92 2
1991_07_16 1200 24.96 2
1991_07_21 1200 24.93 2
1991_07_26 1200 24.6 2
1991_07_31 1200 23.18 2
1991_08_05 1200 23.89 2
1991_08_10 1200 23.77 2
1991_08_15 1200 22.76 2
1991_08_20 1200 22.78 2
1991_08_25 1200 22.96 2
1991_08_30 1200 22.31 2
1991_09_04 1200 21.83 2
1991_09_09 1200 22.65 2
1991_09_14 1200 22.21 2
1991_09_19 1200 21.96 2
1991_09_24 1200 24.09 2
1991_09_29 1200 24.2 2
1991_10_04 1200 23.92 2
1991_10_09 1200 22.89 2
1991_10_14 1200 23.34 2
1991_10_19 1200 23.91 2
1991_10_24 1200 24.1 2
1991_10_29 1200 24.29 2
1991_11_03 1200 24.23 2
1991_11_08 1200 24.27 2
1991_11_13 1200 24.58 2
1991_11_18 1200 24.55 2
