Stock,Gear Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Skipjack tuna in the West Atlantic,Longlines (nei),5,29,30,183,25,24,8,6,9,24,23,33,29,19,15,34,19,12,20,57,23,60,348,95,206,206,285,53,48,19,16
Skipjack tuna in the West Atlantic,Mechanized lines and pole-and-lines,9351,17999,22402,20057,16771,28490,25278,18675,21057,23292,22246,23972,20852,19697,22645,17744,23741,26797,24724,23881,25755,25142,18737,21990,24081,26028,23749,22865,20616,22770,12903
Skipjack tuna in the West Atlantic,Purse seines,2887,4654,9705,11121,17958,11191,5208,4964,2315,2466,3241,8527,8509,12794,5712,2059,3349,4347,3826,2936,3063,5332,2116,2296,2769,1967,2044,1209,901,2031,4135
Skipjack tuna in the West Atlantic,Trolling lines,0,0,0,0,0,0,0,1,5,5,6,5,3,2,1,9,1,8,0,0,0,0,58,238,273,286,289,207,266,69,197
Skipjack tuna in the Western and Central Pacific,Gear not known,46158,52892,57101,60935,52532,57714,67259,59533,57848,58640,92054,83525,81451,66434,66905,67583,72388,69335,77024,80066,88044,76640,81346,76505,60394,66508,67582,78282,90049,89812,88629
Skipjack tuna in the Western and Central Pacific,Longlines (nei),632,756,1015,2144,870,1108,1439,2329,1937,2507,363,885,432,573,379,598,3935,4070,5030,4208,4559,5059,3450,3824,4051,1084,1528,1170,811,1225,1141
Skipjack tuna in the Western and Central Pacific,Mechanized lines and pole-and-lines,333457,294292,262244,299762,379474,250010,336695,262467,301031,289706,224592,292950,251717,280066,227921,257147,211408,225612,244447,235739,216458,159225,150933,171403,154161,177474,155995,143272,143476,119302,135510
Skipjack tuna in the Western and Central Pacific,Purse seines,75488,95887,164394,295915,303840,264953,321972,367324,410804,437723,532995,699745,671507,608647,705848,663673,670653,614804,892009,770586,818442,816221,923536,911285,1062606,1080289,1204498,1343320,1283841,1464575,1381070
Skipjack tuna in the Western and Central Pacific,Trolling lines,12,17,64,154,284,146,219,168,299,244,176,148,168,175,228,12298,6514,9218,8316,5660,15005,7539,6796,9721,15118,6302,3987,3598,4572,4251,4228
Skipjack tuna Indian Ocean,Gear not known,21318,23844,24785,23138,21564,23885,23650,26981,30945,36253,36943,40424,50518,56871,66370,58049,65521,81697,77362,102355,114115,113652,109777,134303,156325,149347,186688,180121,166782,178112,162619
Skipjack tuna Indian Ocean,Longlines (nei),16,34,20,13,27,52,36,15,88,110,107,35,80,224,98,115,87,73,111,94,62,18,25,697,462,451,390,480,599,384,413
Skipjack tuna Indian Ocean,Mechanized lines and pole-and-lines,24474,22597,19588,23729,37347,46981,50800,49729,64987,65147,67903,66328,66080,67764,77789,80238,76627,78769,92339,108434,91041,96977,124300,116654,114567,140313,147356,106509,98819,77554,69031
Skipjack tuna Indian Ocean,Purse seines,2104,2831,5430,13164,47180,61929,68405,81157,95367,129673,110528,125588,153944,167620,184369,184462,155889,152621,157429,201257,205603,197358,246492,219953,166686,220336,257440,156845,159462,173298,167116
Skipjack tuna Indian Ocean,Trolling lines,16364,17682,22084,21022,21182,21305,21473,21078,24670,28774,23051,25390,22250,29506,30751,29758,31760,31798,28950,27527,27328,24994,21205,19334,25408,17401,16861,17438,22144,21242,21548
Southern bluefin tuna Southern Oceans,Gear not known,130,173,316,144,93,161,163,146,328,428,568,142,51,20,4,17,8,5,2,2,0,0,0,0,1,1,2,4,14,0,0
