Bigeye tuna Global,Senegal,Mechanized lines and pole-and-lines,1131,,1308,,565,,474,,561,,721,,1267,,804,,926,,1041,,843,
Bigeye tuna Global,Senegal,Trolling lines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,,8,
Bigeye tuna Global,South Africa,Gear not known,0,-,0,-,0,-,0,-,0,-,1,,0,-,8,,2,,0,-,0,-
Bigeye tuna Global,South Africa,Longlines (nei),234,,169,,598,,356,,294,,295,,138,,227,,365,,323,,315,
Bigeye tuna Global,South Africa,Mechanized lines and pole-and-lines,48,,104,,22,,8,,49,,1,,6,,15,,23,,32,,8,
Bigeye tuna Global,Spain,Gear not known,0,-,0,-,0,-,144,,114,,0,-,0,-,0,-,3,,16,,0,-
Bigeye tuna Global,Spain,Longlines (nei),645,,286,,443,,925,,1053,,155,,671,,510,,483,,442,,994,
Bigeye tuna Global,Spain,Mechanized lines and pole-and-lines,4084,,3897,,3164,,4158,,3838,,4417,,3783,,3008,,1956,,3854,,2819,
Bigeye tuna Global,Spain,Purse seines,30197,,21204,,23030,,19521,,15943,,17133,,18544,,13777,,18990,,22187,,18300,
Bigeye tuna Global,Spain,Trolling lines,141,,103,,38,,19,,54,,85,,5,,12,,0,-,0,-,3,
Bigeye tuna Global,Taiwan Province of China,Longlines (nei),63513,,80220,,102592,,108034,,103011,,74135,,59487,,69078,,51846,,60151,,47773,
Bigeye tuna Global,United Kingdom,Longlines (nei),0,-,0,-,0,-,0,-,0,-,18,,3,,0,-,0,-,32,,2,
Bigeye tuna Global,United States of America,Gear not known,54,,401,,65,,382,,346,,382,,721,,477,,228,,221,,466,
Bigeye tuna Global,United States of America,Longlines (nei),3450,,3322,,5260,,4376,,4866,,5444,,5168,,6396,,6486,,5151,,5964,
Bigeye tuna Global,United States of America,Purse seines,5304,,2290,,2219,,1350,,1395,,0,-,0,-,0,-,0,-,0,-,0,-
Bigeye tuna Global,United States of America,Trolling lines,207,,226,,586,,37,,149,,86,,56,,64,,75,,60,,129,
Bigeye tuna Global,Viet Nam,Longlines (nei),0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,2441,
Pacific bluefin tuna Global,Japan,Gear not known,1814,,2148,,1731,,1285,,1410,,2730,,2198,,2712,,3550,,3149,,2521,
Pacific bluefin tuna Global,Japan,Longlines (nei),962,,799,,848,,1251,,1858,,1939,,1132,,2095,,1495,,1312,,908,
Pacific bluefin tuna Global,Japan,Mechanized lines and pole-and-lines,102,,180,,99,,44,,132,,549,,108,,236,,64,,50,,83,
Pacific bluefin tuna Global,Japan,Purse seines,9418,,5847,,6081,,5651,,4219,,10965,,6657,,5378,,9550,,8186,,4223,
Pacific bluefin tuna Global,Japan,Trolling lines,5121,,3329,,2427,,1839,,2182,,3406,,1544,,2385,,2074,,1875,,1301,
Pacific bluefin tuna Global,"Korea, Republic of",Gear not known,0,-,10,,1,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Pacific bluefin tuna Global,"Korea, Republic of",Longlines (nei),2,,10,,1,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,
Pacific bluefin tuna Global,"Korea, Republic of",Purse seines,2401,,1176,,932,,2601,,773,,1318,,1012,,1281,,1866,,936,,1196,
Pacific bluefin tuna Global,Mexico,Gear not known,99,,0,-,2,,43,,14,,0,-,0,-,0,-,0,-,0,-,0,-
Pacific bluefin tuna Global,Mexico,Longlines (nei),38,,0,-,1,,43,,14,,0,-,0,-,0,-,0,-,0,-,0,-
Pacific bluefin tuna Global,Mexico,Mechanized lines and pole-and-lines,61,,0,-,1,,0,-,0,-,0,-,0,-,0,-,15,,0,-,0,-
Pacific bluefin tuna Global,Mexico,Purse seines,6036,,1726,,3417,,6422,,17760,,9084,,19856,,8293,,8784,,6038,,15490,
Pacific bluefin tuna Global,New Zealand,Gear not known,21,,50,,55,,41,,67,,20,,21,,21,,21,,0,-,0,-
Pacific bluefin tuna Global,Taiwan Province of China,Gear not known,2,,4,,4,,21,,3,,2,,1,,10,,2,,11,,38,
Pacific bluefin tuna Global,Taiwan Province of China,Longlines (nei),2780,,1839,,1523,,1863,,1714,,1368,,1149,,1401,,979,,877,,373,
Pacific bluefin tuna Global,United States of America,Gear not known,781,,805,,1318,,815,,122,,171,,199,,31,,197,,361,,243,
Pacific bluefin tuna Global,United States of America,Longlines (nei),4,,5,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Pacific bluefin tuna Global,United States of America,Mechanized lines and pole-and-lines,0,-,1,,2,,3,,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Pacific bluefin tuna Global,United States of America,Purse seines,1385,,584,,100,,44,,0,-,201,,0,-,42,,0,-,410,,0,-
Skipjack tuna Global,Algeria,Gear not known,89,,77,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Skipjack tuna Global,Argentina,Gear not known,1,,0,-,0,-,0,-,30,,0,-,0,-,0,-,0,-,0,-,0,-
Skipjack tuna Global,Australia,Gear not known,1,,1,,0,-,1,,0,-,3,,0,-,0,-,0,-,0,-,0,-
Skipjack tuna Global,Australia,Longlines (nei),15,,6,,8,,3,,1,,2,,49,,8,,15,,10,,4,
Skipjack tuna Global,Australia,Mechanized lines and pole-and-lines,3020,,0,-,39,,0,-,11,,0,-,0,-,0,-,0,-,0,-,0,-
Skipjack tuna Global,Australia,Purse seines,0,-,1038,,1144,,0,-,30,,0,-,446,,90,,892,,855,,0,-
Skipjack tuna Global,Australia,Trolling lines,2,,4,,2,,3,,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Skipjack tuna Global,Brazil,Gear not known,0,-,0,-,0,-,0,-,0,-,0,-,17,,1038,,85,,752,,824,
Skipjack tuna Global,Brazil,Longlines (nei),0,-,0,-,38,,0,-,1,,0,-,2,,0,-,0,-,2,,0,-
Skipjack tuna Global,Brazil,Mechanized lines and pole-and-lines,24691,,24038,,18185,,20416,,23036,,25269,,23012,,22750,,20547,,22329,,12726,
Skipjack tuna Global,Brazil,Purse seines,473,,108,,116,,0,-,0,-,1119,,238,,403,,213,,223,,0,-
Skipjack tuna Global,Cabo Verde,Gear not known,19,,50,,32,,111,,0,-,0,-,0,-,0,-,0,-,171,,82,
Skipjack tuna Global,Cabo Verde,Mechanized lines and pole-and-lines,770,,444,,0,-,178,,57,,57,,57,,0,-,76,,100,,43,
Skipjack tuna Global,Cabo Verde,Purse seines,0,-,300,,366,,54,,1039,,7447,,7874,,6026,,5934,,4495,,5907,
Skipjack tuna Global,China,Longlines (nei),0,-,0,-,0,-,3,,7,,5,,14,,1,,0,-,0,-,0,-
Skipjack tuna Global,France,Gear not known,200,,190,,382,,101,,109,,122,,96,,66,,63,,38,,44,
Skipjack tuna Global,France,Mechanized lines and pole-and-lines,1497,,2550,,2305,,1878,,1752,,2240,,1610,,795,,778,,1186,,904,
Skipjack tuna Global,France,Purse seines,56621,,54138,,68843,,56923,,58099,,55775,,55452,,38265,,37998,,42134,,43477,
Skipjack tuna Global,France,Trolling lines,49,,75,,240,,350,,471,,436,,440,,440,,440,,440,,440,
Skipjack tuna Global,India,Gear not known,2150,,2110,,3470,,3715,,4856,,4214,,6848,,6648,,8705,,7609,,9822,
Skipjack tuna Global,India,Longlines (nei),1,,0,-,0,-,0,-,2,,0,-,1,,1,,0,-,0,-,0,-
Skipjack tuna Global,India,Mechanized lines and pole-and-lines,6037,,6992,,7659,,6265,,6593,,6921,,7249,,6922,,8522,,7982,,7982,
Skipjack tuna Global,Indonesia,Gear not known,57834,,53707,,54387,,50064,,36889,,33636,,38876,,44428,,59542,,62144,,62144,
Skipjack tuna Global,Indonesia,Longlines (nei),0,-,1,,1,,576,,398,,317,,222,,379,,315,,250,,362,
Skipjack tuna Global,Indonesia,Mechanized lines and pole-and-lines,68037,,53485,,45951,,37830,,41596,,40134,,51916,,52717,,54574,,57115,,57115,
Skipjack tuna Global,Indonesia,Purse seines,8720,,8795,,7911,,8403,,10239,,9201,,10580,,11722,,14614,,14124,,14124,
Skipjack tuna Global,Indonesia,Trolling lines,23216,,20691,,16312,,15030,,15681,,11859,,11210,,12420,,15484,,14965,,14965,
Skipjack tuna Global,Italy,Gear not known,0,-,0,-,4,,12,,15,,7,,0,-,0,-,0,-,0,-,0,-
Skipjack tuna Global,Italy,Longlines (nei),0,-,0,-,0,-,17,,19,,10,,0,-,0,-,0,-,0,-,0,-
Skipjack tuna Global,Japan,Gear not known,2082,,1870,,1380,,1569,,1256,,1678,,827,,1250,,864,,876,,876,
Skipjack tuna Global,Japan,Longlines (nei),43,,159,,140,,160,,173,,142,,104,,99,,177,,195,,165,
Skipjack tuna Global,Japan,Mechanized lines and pole-and-lines,147786,,103432,,97367,,125142,,108128,,136066,,99957,,89694,,91197,,65709,,82446,
Skipjack tuna Global,Japan,Purse seines,2332,,1830,,1937,,2443,,1459,,3149,,1982,,4362,,3187,,3434,,1102,
Skipjack tuna Global,Japan,Trolling lines,14528,,6949,,6376,,9386,,14802,,5971,,3624,,3249,,4178,,3819,,3819,
Skipjack tuna Global,"Korea, Republic of",Longlines (nei),11,,33,,54,,31,,34,,1,,1,,1,,2,,6,,3,
Skipjack tuna Global,"Korea, Republic of",Purse seines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,
Skipjack tuna Global,Madagascar,Trolling lines,1000,,1035,,1030,,1014,,993,,884,,937,,957,,936,,1021,,1021,
Skipjack tuna Global,Mexico,Longlines (nei),13,,54,,71,,75,,9,,7,,10,,7,,8,,9,,7,
Skipjack tuna Global,Mexico,Mechanized lines and pole-and-lines,176,,448,,616,,637,,528,,1299,,435,,276,,499,,151,,47,
Skipjack tuna Global,Mexico,Purse seines,14080,,8169,,6612,,8147,,24429,,32271,,16790,,21542,,21638,,6847,,3010,
